id,title,authors,year,venue,citations,abstract,pdf_url,doi,url,relevance_score,rank_score
2d2505c2fe60e6a8bb254d864af5d726458e268f,A Study on the Current Learning Situation and Enhancement Strategies of Web Design Courses,Wenqing Kang,2025,World Journal of Educational Research,0,"With the rapid development of the Internet, the importance of webpage design as an important carrier of information transmission is becoming more and more prominent. However, the current teaching stat...",https://doi.org/10.22158/wjer.v12n1p72,10.22158/wjer.v12n1p72,https://www.semanticscholar.org/paper/2d2505c2fe60e6a8bb254d864af5d726458e268f,1.0,40.0
051f87d41a4cbf8bbcf002e2430afe3e2711b791,Leveraging Human-in-the-Loop Engagement Through AI in Web Design Education: A Case Study on Adapting to Dynamic Client Requirements,Jason Lively,2024,International Journal of Emerging and Disruptive Innovation in Education : VISIONARIUM,0,"The integration of Artificial Intelligence (AI) within educational frameworks, particularly in disciplines such as web design and development, represents a significant evolution in pedagogical strateg...",https://digitalcommons.lindenwood.edu/cgi/viewcontent.cgi?article=1016&context=ijedie,10.62608/2831-3550.1016,https://www.semanticscholar.org/paper/051f87d41a4cbf8bbcf002e2430afe3e2711b791,1.0,39.0
074dab8f6a08a9125ad8d9eac0f84d88af0aa7d4,Development of Learning Using Flipped Classroom Models in Basic Web Programming Subjects at SMK Al Hafidz Leuwiliang,Luthfia Rifaah; Z. Arief; Rudi Hartono,2023,International Journal of Engineering Science and Technology,0,The purpose of this study is the development of basic learning of web programming class XI RPL based on Microsoft teams using the flipped classroom model at SMK Al Hafidz Leuwiliang and to find out it...,https://www.ijonest.net/index.php/ijonest/article/download/130/pdf,10.46328/ijonest.130,https://www.semanticscholar.org/paper/074dab8f6a08a9125ad8d9eac0f84d88af0aa7d4,1.0,38.0
0e961e4608d1feb18b70de3a28ef2b33f0e19c69,Learning Web Programming: Identifying Complex Topics from Student Discussion Forums and Lecture Slides,Swapna Gottipati; K. Shim; Richie Tan; Zi Rong Tan,2023,IEEE Global Engineering Education Conference,0,Designing and delivering web application courses for computing undergraduates is a challenging task. Lack of understanding of web concepts affects the students” interest in web application development...,,10.1109/EDUCON54358.2023.10125272,https://www.semanticscholar.org/paper/0e961e4608d1feb18b70de3a28ef2b33f0e19c69,1.0,38.0
2f78d92599fb60d7d71d13643e23bd12387b5790,DEVELOPMENT OF WEB PROGRAMMING LEARNING MEDIA USING LARAVEL BASED ON PROJECT BASED LEARNING MODEL IN THE DEPARTMENT OF INFORMATICS AND COMPUTER ENGINEERING FT UNM,Mustari Lamada; Syahrul Syahrul; Nurul Izzah Qurratu'aini,2023,Jurnal nalar pendidikan,0,This research aims to determine the results of developing web programming learning media using Laravel based on the project-based learning model in the Department of Informatics Engineering and Comput...,https://doi.org/10.26858/jnp.v11i2.62852,10.26858/jnp.v11i2.62852,https://www.semanticscholar.org/paper/2f78d92599fb60d7d71d13643e23bd12387b5790,1.0,38.0
29439bc1376be0900cd415623c41bce600a00e17,Suitability of Web Development Technology Course in TVET Tertiary Educators’ Perspective,Hairi Alias; Nuru Mazlia Musa; Fauziah Basok,2023,Asian Journal of Vocational Education and Humanities,0,This study will cover on how Web Development technology can be adapted in digital education for higher learning environment from a TVET’s computing lecturers’ perspective including the expectation of ...,https://journalarsvot.com/index.php/ajvah/article/download/330/275,10.53797/ajvah.v4i1.2.2023,https://www.semanticscholar.org/paper/29439bc1376be0900cd415623c41bce600a00e17,1.0,38.0
2a26e7979c382131a02ddae4b88e12bade9ea440,Design and Build a Web-Based E-Learning Application System at Paramarta Vocational High School,Iwan Giri Waluyo; Zulfikar Alwi,2023,International Journal of Integrative Sciences,0,"The conventional learning system is still being implemented at SMK Paramarta, which includes direct contact between teachers and students. However, with the advancement of technology, there is a need ...",https://journal.formosapublisher.org/index.php/ijis/article/download/4862/4965,10.55927/ijis.v2i7.4862,https://www.semanticscholar.org/paper/2a26e7979c382131a02ddae4b88e12bade9ea440,1.0,38.0
60fe3a7c797e84cb1e21c353492721649cff65d3,The Influence of Learning Coding Interest on Learning Outcomes of Web Programming and Mobile Devices Subjects,Zahrotun Nafidah; G. Widhanarto,2020,,0,"Digital startup in indonesia is going rapidly, it caused the need for reliable programmers in challenging of 21st century competences. However, these are not yet fulfilled due to the low interest of s...",http://eudl.eu/pdf/10.4108/eai.29-6-2019.2290445,10.4108/eai.29-6-2019.2290445,https://www.semanticscholar.org/paper/60fe3a7c797e84cb1e21c353492721649cff65d3,1.0,35.0
07ca2e308c77a159cfa83c0a661445302e1e10a0,Collaborative Learning: Design and Reflections in a Web Programming Course,V. Umadevi,2016,,0,Collaborative learning enhances learning achievement and encourages student's responsibility of learning. Student Team Achievement Divisions (STAD) activity is a Collaborative learning in which small ...,http://www.journaleet.org/index.php/jeet/article/download/85667/65763,10.16920/JEET/2016/V0I0/85667,https://www.semanticscholar.org/paper/07ca2e308c77a159cfa83c0a661445302e1e10a0,1.0,31.0
2bf03265fafe1a6f3ab95759b454a03667f361ea,Development of Android-Based Learning Media on Web Programming Subjects at SMK Negeri 1 Ranah Ampek Hulu Tapan,Monica Wingsky; Heri Mulyono; Faiza Rini; Bernediv Nurdin; Ade Pratama; Rahayu Trisetyowati Untari,2025,International journal of multidisciplinary research and analysis,0,"The learning process in web programming subjects at SMK Negeri 1 Ranah Ampek Hulu Tapan has not been optimal, this is due to several problems, namely 1) the availability of limited learning media (boo...",,10.47191/ijmra/v8-i07-59,https://www.semanticscholar.org/paper/2bf03265fafe1a6f3ab95759b454a03667f361ea,1.0,30.0
